origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
3,2022-01-24,magnitud,5,LSTM sin signo,0,1.2927299737930298,1.2761027812957764,0.9829981327056885,0.9816768169403076,0.0035962324400054774,274,127600,6576,17,10,0.0924790340040872,0.11453296005994619
3,2022-01-24,magnitud,5,LSTM sin signo,1,1.2893505096435547,1.2729071378707886,0.9807243347167969,0.9794843196868896,0.0033098563013455144,274,127600,6576,14,7,0.10701098756674296,0.11815536431296315
3,2022-01-24,magnitud,10,LSTM sin signo,0,1.2899905443191528,1.2815368175506592,0.9851270318031311,0.9837931394577026,0.0030818431616715406,274,127326,6302,15,8,0.08865855756892736,0.11197549155557969
3,2022-01-24,magnitud,10,LSTM sin signo,1,1.303301453590393,1.2888764142990112,0.994644045829773,0.9919182062149048,0.003908927403777909,274,127326,6302,16,9,0.08181245141778605,0.1066440758351461
3,2022-01-24,magnitud,20,LSTM sin signo,0,1.3176910877227783,1.3031885623931885,1.0108911991119385,1.0049461126327515,0.004566356779082928,274,126778,5754,11,4,0.0720591560652059,0.07747926515707325
3,2022-01-24,magnitud,20,LSTM sin signo,1,1.3212924003601074,1.3077709674835205,1.0134577751159668,1.0062241554260254,0.004727866977186853,274,126778,5754,17,10,0.08617974214646365,0.08098477042926054
4,2022-07-26,magnitud,1,LSTM sin signo,0,1.269449234008789,1.227190613746643,0.9570399522781372,0.9521245956420898,0.010371904983286868,274,134724,6576,14,7,0.1664970524404092,0.17269065116569257
4,2022-07-26,magnitud,1,LSTM sin signo,1,1.2732044458389282,1.2290806770324707,0.9605220556259155,0.9577362537384033,0.009808586478347672,274,134724,6576,7,0,0.13950428772590476,0.17029885013200752
4,2022-07-26,magnitud,5,LSTM sin signo,0,1.179522156715393,1.1747260093688965,0.9337432384490967,0.9317671656608582,0.003723488443605633,274,134724,6576,14,7,0.09188455445391516,0.11579124951130751
4,2022-07-26,magnitud,5,LSTM sin signo,1,1.186577320098877,1.1847851276397705,0.9390764236450195,0.9390615224838257,0.003772249330553924,274,134724,6576,7,0,0.10625435212941618,0.12045280059244647
4,2022-07-26,magnitud,10,LSTM sin signo,0,1.1852160692214966,1.1806232929229736,0.9379575252532959,0.9377119541168213,0.0039969951505222,274,134450,6302,13,6,0.08734910305546943,0.10303955796411962
4,2022-07-26,magnitud,10,LSTM sin signo,1,1.1852632761001587,1.1823086738586426,0.9381647109985352,0.9374381303787231,0.004048761395464009,274,134450,6302,8,1,0.08264396553894526,0.1130112918596644
4,2022-07-26,magnitud,20,LSTM sin signo,0,1.1969553232192993,1.195650577545166,0.945306122303009,0.9464703798294067,0.004235154355376775,274,133902,5754,8,1,0.07473954420451445,0.093320838303682
4,2022-07-26,magnitud,20,LSTM sin signo,1,1.1923998594284058,1.1902258396148682,0.9420387744903564,0.9411159157752991,0.00357088539382187,274,133902,5754,8,1,0.08913361349406133,0.09094970329941912
5,2023-01-25,magnitud,1,LSTM sin signo,0,0.9571638107299805,0.9382442831993103,0.9695625901222229,0.9664993286132812,0.007577224520570883,274,141574,6850,9,2,0.1767609299157178,0.16643945027532775
5,2023-01-25,magnitud,1,LSTM sin signo,1,0.9577176570892334,0.9384057521820068,0.9705191254615784,0.9655592441558838,0.009286253728713811,274,141574,6850,8,1,0.15608235228712594,0.16305730740005145
5,2023-01-25,magnitud,5,LSTM sin signo,0,0.9466446042060852,0.9193185567855835,0.9533849358558655,0.954118013381958,0.0033031263159150706,274,141574,6576,15,8,0.09906659626976892,0.11031240555676312
5,2023-01-25,magnitud,5,LSTM sin signo,1,0.9459706544876099,0.9198441505432129,0.9514792561531067,0.9513971209526062,0.0035750405476809616,274,141574,6576,17,10,0.11573409185902844,0.12571400434236019
5,2023-01-25,magnitud,10,LSTM sin signo,0,0.9356805086135864,0.9109612703323364,0.9451046586036682,0.9452614784240723,0.003651580853824238,274,141300,6302,11,4,0.09286493430777952,0.09268991054589118
5,2023-01-25,magnitud,10,LSTM sin signo,1,0.9369826316833496,0.9117981791496277,0.9462598562240601,0.9454469680786133,0.0036135678238249074,274,141300,6302,17,10,0.08716761461540085,0.10088064792174575
5,2023-01-25,magnitud,20,LSTM sin signo,0,0.9375272989273071,0.904728889465332,0.9432587027549744,0.9442034959793091,0.004306846794473597,274,140752,5754,26,19,0.08008016413585706,0.06773832167752765
5,2023-01-25,magnitud,20,LSTM sin signo,1,0.9360625743865967,0.9031498432159424,0.9420678615570068,0.9438543319702148,0.00405840806799914,274,140752,5754,15,8,0.09858555412089283,0.0920167728615078
6,2023-07-27,magnitud,1,LSTM sin signo,0,0.92519211769104,0.8507820963859558,0.9626979231834412,0.9625805616378784,0.007020741325874245,274,148424,6850,17,10,0.17867491901290186,0.1707878697406629
6,2023-07-27,magnitud,1,LSTM sin signo,1,0.9230704307556152,0.8479210138320923,0.960567831993103,0.9595931768417358,0.007188930647426695,274,148424,6850,10,3,0.15259094336872986,0.17709443397691538
6,2023-07-27,magnitud,5,LSTM sin signo,0,0.8564964532852173,0.8192023634910583,0.9431315064430237,0.9435678720474243,0.003704171017862517,274,148424,6576,16,9,0.10488811265034922,0.10721164091393866
6,2023-07-27,magnitud,5,LSTM sin signo,1,0.8581415414810181,0.8231954574584961,0.9452573657035828,0.9467506408691406,0.0035358545413552707,274,148424,6576,7,0,0.12010034088944567,0.12107778200558547
6,2023-07-27,magnitud,10,LSTM sin signo,0,0.8527882695198059,0.8142174482345581,0.9433671832084656,0.9446052312850952,0.003573154603395678,274,148150,6302,11,4,0.0954247907846394,0.09478830101550757
