origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
2,2021-07-26,nivel,5,cero,,1.0114396810531616,0.9879395961761475,1.0,1.0,0.0,274,120750,6850,,,,,
2,2021-07-26,nivel,5,constante optima,,1.0110845565795898,0.985356330871582,0.9995715022087097,0.9997228384017944,0.0006534428986824213,274,120750,6850,,,,,0.0464987326413393
2,2021-07-26,nivel,5,deriva,,1.0204806327819824,0.9946794509887695,1.0087562799453735,1.0085254907608032,0.0012868728452716464,274,120750,6850,,,,,
2,2021-07-26,nivel,5,regresion agrupada (L2),,1.0296201705932617,1.003210425376892,1.0174511671066284,1.0161473751068115,0.003228126722728483,274,120750,6850,,,,,
2,2021-07-26,nivel,5,regresion agrupada (L1),,1.0093390941619873,0.9846740365028381,0.9976627230644226,0.9963445663452148,0.002184912590369566,274,120750,6850,,,,,
2,2021-07-26,nivel,10,cero,,1.0105395317077637,0.9839072823524475,1.0,1.0,0.0,274,120476,6576,,,,,
2,2021-07-26,nivel,10,constante optima,,1.0093214511871338,0.9816113710403442,0.9987038969993591,0.9987304210662842,0.0006493382692257214,274,120476,6576,,,,,0.04658782109618187
2,2021-07-26,nivel,10,deriva,,1.019002914428711,0.9901332855224609,1.0082060098648071,1.0078012943267822,0.0013199559763997027,274,120476,6576,,,,,
2,2021-07-26,nivel,10,regresion agrupada (L2),,1.0263310670852661,0.9965780377388,1.01511549949646,1.0160768032073975,0.0028102676346967418,274,120476,6576,,,,,
2,2021-07-26,nivel,10,regresion agrupada (L1),,1.0080928802490234,0.9787503480911255,0.9972920417785645,0.9961769580841064,0.0020253279458819756,274,120476,6576,,,,,
2,2021-07-26,nivel,20,cero,,1.0123257637023926,0.9857828617095947,1.0,1.0,0.0,274,120202,6028,,,,,
2,2021-07-26,nivel,20,constante optima,,1.0109295845031738,0.9804812073707581,0.9985224604606628,0.9981492757797241,0.0006641477142418159,274,120202,6028,,,,,0.04659965634346008
2,2021-07-26,nivel,20,deriva,,1.0202816724777222,0.9916818737983704,1.0077062845230103,1.0066486597061157,0.0013736105286834767,274,120202,6028,,,,,
2,2021-07-26,nivel,20,regresion agrupada (L2),,1.024032711982727,0.9950577020645142,1.0112353563308716,1.0113229751586914,0.0025810862448097716,274,120202,6028,,,,,
2,2021-07-26,nivel,20,regresion agrupada (L1),,1.0108722448349,0.9823524951934814,0.9983126521110535,0.9973175525665283,0.001958892295164111,274,120202,6028,,,,,
