origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
2,2021-07-26,magnitud,1,volatilidad reciente,,0.9539961814880371,0.926740825176239,1.0,1.0,0.0,274,121024,6850,,,,,
2,2021-07-26,magnitud,1,mediana de la ventana,,0.9257326722145081,0.8966985940933228,0.9686160087585449,0.973402738571167,0.007334867176730904,274,121024,6850,,,,,
2,2021-07-26,magnitud,1,media reescalada (c global),,0.9239518642425537,0.9042762517929077,0.9664355516433716,0.9708811044692993,0.008228510848714673,274,121024,6850,,,,,0.7397
2,2021-07-26,magnitud,1,media reescalada (c por serie),,0.9244410395622253,0.9010675549507141,0.9670122861862183,0.9720520973205566,0.008301759304373362,274,121024,6850,,,,,
2,2021-07-26,magnitud,1,EWMA RiskMetrics,,0.9250159859657288,0.8995501399040222,0.9684831500053406,0.9710527658462524,0.00787830314780045,274,121024,6850,,,,,0.748
2,2021-07-26,magnitud,1,EWMA ajustado,,0.925686240196228,0.8977349400520325,0.9694095849990845,0.9723392724990845,0.007964458844109448,274,121024,6850,,,,,0.93
2,2021-07-26,magnitud,1,HAR,,0.918590247631073,0.875625729560852,0.9624589085578918,0.9652669429779053,0.008234769123020779,274,121024,6850,,,,,
2,2021-07-26,magnitud,1,"GARCH(1,1) agrupado",,0.9236718416213989,0.8856074213981628,0.967731773853302,0.9669189453125,0.008807194173253496,274,121024,6850,,,,,0.5407
2,2021-07-26,magnitud,1,regresion agrupada (L2),,0.9527948498725891,0.9025830030441284,1.0055750608444214,0.9978445768356323,0.00847592783449042,274,121024,6850,,,,,
2,2021-07-26,magnitud,1,regresion agrupada (L1),,0.9186297655105591,0.8876742720603943,0.9624097943305969,0.9669191837310791,0.008236826107599238,274,121024,6850,,,,,
2,2021-07-26,magnitud,5,volatilidad reciente,,0.9450148940086365,0.9131345748901367,1.0,1.0,0.0,274,120750,6850,,,,,
2,2021-07-26,magnitud,5,mediana de la ventana,,0.9253065586090088,0.8991334438323975,0.9799715876579285,0.9826589226722717,0.0029369571798522607,274,120750,6850,,,,,
2,2021-07-26,magnitud,5,media reescalada (c global),,0.9244786500930786,0.8949064016342163,0.9796182513237,0.9793062210083008,0.0034637164972841222,274,120750,6850,,,,,0.7303
2,2021-07-26,magnitud,5,media reescalada (c por serie),,0.9250609874725342,0.8986890912055969,0.9803745150566101,0.979011058807373,0.003586218030840018,274,120750,6850,,,,,
2,2021-07-26,magnitud,5,EWMA RiskMetrics,,0.9280287623405457,0.9029390811920166,0.9831487536430359,0.984603762626648,0.0030976823930317144,274,120750,6850,,,,,0.7446
2,2021-07-26,magnitud,5,EWMA ajustado,,0.9295436143875122,0.9037879109382629,0.9847153425216675,0.9858369827270508,0.003139066267124718,274,120750,6850,,,,,0.93
2,2021-07-26,magnitud,5,HAR,,0.9314302206039429,0.9041793942451477,0.9870144128799438,0.9882014989852905,0.0026745777692718836,274,120750,6850,,,,,
2,2021-07-26,magnitud,5,"GARCH(1,1) agrupado",,0.9291991591453552,0.9024745225906372,0.9835494756698608,0.9812697172164917,0.003558827503258991,274,120750,6850,,,,,0.531
2,2021-07-26,magnitud,5,regresion agrupada (L2),,0.9717199802398682,0.942927896976471,1.03054940700531,1.029248595237732,0.003830054423109935,274,120750,6850,,,,,
