origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
1,2021-01-25,nivel,10,regresion agrupada,,1.1067297458648682,1.0789339542388916,1.0313223600387573,1.0311474800109863,0.00318135323217474,272,112520,6256,,,,
1,2021-01-25,nivel,10,LSTM,0.0,1.0747294425964355,1.043191909790039,1.0007381439208984,1.0006160736083984,0.0010218253332644116,272,112520,6256,8.0,1.0,0.026923016230152412,0.06885051414455202
1,2021-01-25,nivel,10,LSTM,1.0,1.0707868337631226,1.0368130207061768,0.9971185326576233,0.9967944622039795,0.00091454471310302,272,112520,6256,8.0,1.0,0.02624849252275784,0.0674862663346258
1,2021-01-25,nivel,20,cero,,1.0698137283325195,1.040818214416504,1.0,1.0,0.0,272,112248,5712,,,,
1,2021-01-25,nivel,20,deriva,,1.072281837463379,1.0434443950653076,1.0027434825897217,1.0026956796646118,0.0018894175023694785,272,112248,5712,,,,
1,2021-01-25,nivel,20,ingenua,,1.578121542930603,1.547257661819458,1.4814517498016357,1.4584722518920898,0.016041865461999885,272,112248,5712,,,,
1,2021-01-25,nivel,20,regresion agrupada,,1.1004663705825806,1.0727659463882446,1.029254674911499,1.0289218425750732,0.0028899881955828603,272,112248,5712,,,,
1,2021-01-25,nivel,20,LSTM,0.0,1.0676491260528564,1.039031744003296,0.9980641603469849,0.9980825185775757,0.0007349364824185003,272,112248,5712,7.0,0.0,0.020279216355217754,0.046286167241717795
1,2021-01-25,nivel,20,LSTM,1.0,1.0676707029342651,1.0375192165374756,0.9981017112731934,0.998009204864502,0.0007534600206564427,272,112248,5712,7.0,0.0,0.01934570229160419,0.0433685495252965
1,2021-01-25,magnitud,1,volatilidad reciente,,1.120995044708252,1.0621209144592285,1.0,1.0,0.0,272,113064,6800,,,,
1,2021-01-25,magnitud,1,persistencia,,1.363214135169983,1.3062212467193604,1.2408227920532227,1.2126489877700806,0.027696300678802646,272,113064,6800,,,,
1,2021-01-25,magnitud,1,regresion agrupada,,1.1017900705337524,1.063497543334961,0.9875864386558533,0.9850953817367554,0.007447217484824729,272,113064,6800,,,,
1,2021-01-25,magnitud,1,LSTM,0.0,1.0695651769638062,1.0141386985778809,0.9519206881523132,0.9512900114059448,0.012343242088535735,272,113064,6800,14.0,7.0,0.19444651810486055,0.2197629167483403
1,2021-01-25,magnitud,1,LSTM,1.0,1.0610883235931396,1.0050511360168457,0.9442266821861267,0.9408308863639832,0.011389661774036516,272,113064,6800,15.0,8.0,0.1648995590804996,0.22211367326759104
1,2021-01-25,magnitud,5,volatilidad reciente,,1.053272008895874,1.0231772661209106,1.0,1.0,0.0,272,112792,6528,,,,
1,2021-01-25,magnitud,5,persistencia,,1.3583687543869019,1.3335680961608887,1.2948269844055176,1.281227469444275,0.01678878555431543,272,112792,6528,,,,
1,2021-01-25,magnitud,5,regresion agrupada,,1.0495867729187012,1.0257797241210938,0.9996153712272644,1.0025966167449951,0.004269451887262285,272,112792,6528,,,,
1,2021-01-25,magnitud,5,LSTM,0.0,0.9976924657821655,0.9695767164230347,0.9471774101257324,0.9486293792724609,0.0040959321659315255,272,112792,6528,15.0,8.0,0.09835955727414615,0.13430567132203486
1,2021-01-25,magnitud,5,LSTM,1.0,0.9977791905403137,0.9662787914276123,0.9472118616104126,0.9460678100585938,0.004321374670636234,272,112792,6528,11.0,4.0,0.10974267882014078,0.13544253717744703
1,2021-01-25,magnitud,10,volatilidad reciente,,1.0444234609603882,1.0100287199020386,1.0,1.0,0.0,272,112520,6256,,,,
1,2021-01-25,magnitud,10,persistencia,,1.3614784479141235,1.3354443311691284,1.3098613023757935,1.2873647212982178,0.017592363303564264,272,112520,6256,,,,
1,2021-01-25,magnitud,10,regresion agrupada,,1.035186767578125,1.0098280906677246,0.9951463341712952,0.9956586956977844,0.0044260876123706746,272,112520,6256,,,,
1,2021-01-25,magnitud,10,LSTM,0.0,0.9814093112945557,0.9482506513595581,0.9396904706954956,0.939447283744812,0.004260189045218525,272,112520,6256,9.0,2.0,0.0960398252460767,0.10774118074808609
1,2021-01-25,magnitud,10,LSTM,1.0,0.97932368516922,0.9443236589431763,0.9375326633453369,0.9374269247055054,0.004373922686812982,272,112520,6256,11.0,4.0,0.08161286626603793,0.11842043056914753
1,2021-01-25,magnitud,20,volatilidad reciente,,1.0389893054962158,1.007383108139038,1.0,1.0,0.0,272,112248,5712,,,,
1,2021-01-25,magnitud,20,persistencia,,1.366924524307251,1.346224308013916,1.3226381540298462,1.29867422580719,0.018513381818959403,272,112248,5712,,,,
1,2021-01-25,magnitud,20,regresion agrupada,,1.0189274549484253,0.9950389862060547,0.9853225946426392,0.9882630705833435,0.004463274056129553,272,112248,5712,,,,
1,2021-01-25,magnitud,20,LSTM,0.0,0.963196337223053,0.9343054294586182,0.9272494316101074,0.9290893077850342,0.0046351986206491285,272,112248,5712,10.0,3.0,0.07282472745110206,0.07696619787272532
1,2021-01-25,magnitud,20,LSTM,1.0,0.9630210995674133,0.9345905780792236,0.9271050691604614,0.9294637441635132,0.004528364224260109,272,112248,5712,18.0,11.0,0.08270717576010352,0.09118438560031948
2,2021-07-26,nivel,1,cero,,1.0010159015655518,0.9693777561187744,1.0,1.0,0.0,272,120136,6800,,,,
2,2021-07-26,nivel,1,deriva,,1.0125494003295898,0.9806383848190308,1.011070728302002,1.0147671699523926,0.003693096342592887,272,120136,6800,,,,
2,2021-07-26,nivel,1,ingenua,,1.3679248094558716,1.3238775730133057,1.3919892311096191,1.3461697101593018,0.027911236200467277,272,120136,6800,,,,
2,2021-07-26,nivel,1,regresion agrupada,,0.9990761876106262,0.9727087020874023,0.999007523059845,0.9932647347450256,0.007244749575076,272,120136,6800,,,,
2,2021-07-26,nivel,1,LSTM,0.0,0.9864678978919983,0.964309573173523,0.9844059944152832,0.98621666431427,0.0031913273668832424,272,120136,6800,7.0,0.0,0.0684415985552713,0.15983264805313122
2,2021-07-26,nivel,1,LSTM,1.0,0.9848765134811401,0.9610931873321533,0.9825547337532043,0.9842170476913452,0.0036255425132700934,272,120136,6800,7.0,0.0,0.07675311784755359,0.1768118917942047
2,2021-07-26,nivel,5,cero,,1.0120991468429565,0.9907574653625488,1.0,1.0,0.0,272,119864,6800,,,,
2,2021-07-26,nivel,5,deriva,,1.0212005376815796,0.9963630437850952,1.0088144540786743,1.0085821151733398,0.001293431951657043,272,119864,6800,,,,
2,2021-07-26,nivel,5,ingenua,,1.366065502166748,1.3254976272583008,1.3509249687194824,1.3394687175750732,0.014333527057259874,272,119864,6800,,,,
